instruction,output,url
혁신법에 규정되지 않은 내용을 다른 법률에서 규정하는 경우 효력이 있는지?,"1. 해당 규정의 내용과 취지가 혁신법과 부합하는지 종합적으로 검토할 필요 있음
2. 국가연구개발사업 추진과 무관한 내용이거나 혁신법과 부합하는 내용이면 다른 법률에서 규정하여도 무방함
3. 그러나 혁신법에서 명시적으로 규정하고 있지 않은 내용이라도 혁신법의 내용 또는 취지와 배치되는 경우 혁신법에 위배되는 것으로 봄 (e.g. 연차평가는 혁신법에서 명시적으로 규정하고 있지 않으나 연차평가를 실시하지 않는 것이 입법 배경 및 취지이므로 다른 법률에서 연차평가를 규정하고 있더라도 혁신법에 위배)",
"개별 법률에서 협약 대상을 명시하고 있는 경우, 이를 근거로 연구개발기관의 자격을 제한할 수 있는지?","1. 연구개발기관의 신청 자격을 제한하고자 하는 경우 사업 공고에 이를 명시하여야 함(시행령 제9조 제1항)
2. 사업 공고 시 신청 자격을 제한하지 않으면 부처별 법령에 수행 자격이 명시된 경우라도 혁신법 제2조 제3호 각 호의 기관이 모두 신청 및 수행할 수 있음",
부처별 훈령 고시 등에는 어떠한 내용이 포함될 수 있는지?,"1. 혁신법과 하위규정에서 중앙행정기관이 정하도록 위임한 사항과, 혁신법에서 명시적으로 규정하지 않으나 사업 추진을 위해 필요한 사항이 포함될 수 있음 (e.g. 사업별 추진위원회의 구성, 전문기관의 지정 및 업무 범위, 연구개발과제 선정 시 우대 기준, 기술료의 납부 및 감면)
2. 다만 혁신법과 동일한 내용을 규정하는 경우 규정 적용 및 이해에 혼선이 발생할 수 있으므로, 해당 조항을 삭제하거나 혁신법을 인용할 필요",
중앙행정기관이 과학기술정보통신부 장관과 협의하는 방식은?,일반적인 법령 제 개정 절차를 준용하여 공문 등으로 의견 요청 필요,
추진계획과 공고문은 국가연구개발행정제도에 포함되는지?,"국가연구개발사업 추진을 위한 사항을 규정하고 있으므로 ‘각종 시책’에 해당되며, 국가연구개발행정제도에도 포함",
기존의 협동연구개발기관은 혁신법에서 주관연구개발기관에 해당하는지? 공동연구개발기관에 해당하는지?,"기존의 협동연구개발기관은 주관연구개발기관에 해당하며, 기존의 세부과제는 이 법에 따른 연구개발과제에 해당합니다.
(기존) 주관 → (혁신법) 총괄주관 또는 주관
(기존) 협동 → (혁신법) 주관
(기존) 공동 → (혁신법) 공동
(기존) 위탁 → (혁신법) 위탁",
기존의 연구개발과제가 총괄과제(주관연구개발기관)-세부과제(협동연구개발기관)로 구성된 경우 혁신법에 따라 어떻게 변경하여야 하는지?,"1. 기존의 협동연구개발기관은 이 법에 따른 주관연구개발기관에 해당하며, 기존의 세부과제는 연구개발과제에 해당합니다. 따라서 협동연구개발기관의 경우 주관연구개발기관으로 변경하는 것이 원칙이며, 필요 시 소관 부처 또는 전문기관과의 협의를 통해 공동연구개발기관으로도 변경 가능합니다.
2. 여러 개의 연구개발과제가 연관되어 추진되는 경우 협약은 연구개발과제별로 체결하여야 하지만, 주관연구개발기관 중 하나가 총괄 역할을 수행할 경우 해당 주관연구개발기관은 총괄연구개발계획서를 작성하여 첨부할 수 있으며, 협약서에 명시된 바에 따라 연구개발과제들을 총괄관리하고 연구개발계호기서 사전 검토 및 사전 검토, 조정 및 전체 연구계획을 수립할 수 있습니다.",
‘총괄연구개발계획서’에서 총괄주관연구개발기관과 총괄연구책임자란?,"1. 총괄주관연구개발기관이란 여러 개의 연구개발과제가 공통의 연구개발계획(총괄연구개발계획)하에 서로 연관되어 추진되는 경우, 해당 연구개발과제들을 수행하는 주관연구개발기관들 중 해당 연구개발과제들을 조정·관리하고 연구개발 계획을 사전 검토?조정하는 등 총괄역할을 수행하는 주관연구개발기관을 의미하고, 총괄연구책임자는 총괄주관연구개발 기관의 연구책임자를 의미합니다.
2. 이 때 총괄주관연구개발기관은 어디까지나 연구개발기관의 지위에서 해당 연구개발과제들을 총괄 조정?관리하는 것이며, 혁신법 시행 이전의 총괄주관기관과 같이 직접 연구개발과제를 선정?협약?평가하는 등 전문기관으로서의 역할을 할 수 없음. 연구개발과제의 선정·협약·평가·성과활용 등에 관한 업무를 수행하기 위해서는 소관 중앙행정기관으로부터 전문기관으로 지정되어 대행권한을 받아야 합니다.",
공동 위탁연구개발기관을 추가 변경하고자 하는 경우 절차는?,협약의 중요한 내용을 변경하는 경우이므로 중앙행정기관의 장과 연구개발기관이 협의하여 변경해야 합니다.,
공동연구개발기관과 위탁연구개발기관의 차이는?,"1. (성과 소유) 공동연구개발기관은 연구개발성과를 소유할 수 있으나, 위탁연구개발기관의 연구개발성과는 주관연구개발기관이 소유합니다.(시행령 제32조)
2. (연구수행 전념) 공동연구개발기관의 책임자와 참여연구자는 동시수행 연구개발과제 수 제한 대상이 되나, 위탁연구개발기관의 책임자와 참여연구자는 제한 대상이 되지 않습니다.(동시수행 연구개발과제 수 제한기준 제4조)
3. (연구개발비 상한) 위탁연구개발비는 원칙적으로 직접비(위탁연구개발비, 국제공동연구개발비, 연구개발부담비 제외)의 40%를 초과하여서는 아니 되며, 공동연구개발기관의 연구개발비는 별도 제한이 없습니다.(연구개발비 사용기준 제27조) 
4. (기관부담금) 위탁연구개발기관에 대해서는 기관부담연구개발비를 부담하지 않게 할 수 있습니다. (시행령 제19조 제2항 제2호)",
공동연구개발기관에서 연구개발과제의 일부를 위탁하는 것이 가능한지?,"1. 위탁의 주체는 주관연구개발기관이므로 공동연구개발기관은 위탁의 주체가 될 수 없으며, 기존의 「국가연구개발사업의 관리 등에 관한 규정」에서도 연구개발과제 또는 세부과제의 일부만 위탁이 가능하도록 규정하고 있습니다.
2. 협동연구개발기관을 공동연구개발기관으로 오해하여 기존에는 위탁이 가능하였는데 혁신법에 따라 위탁이 불가능한 것으로 해석하는 경우가 있으나, 기존의 협동연구개발기관(세부과제)은 이 법에 따른 주관연구개발기관에 해당하므로 위탁 가능합니다.",
